"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","BB%","K%","wRC+","wOBA","WAR","playerid"
"Santiago Espinal","TOR","92","222","246","69","53","13","1","2","32","17","22","0","30","1","0","1","4","6","1",".311",".376",".405",".781","8.9%","12.2%","115",".344","2.2","19997"
"Luis Urias","MIL","150","490","570","122","73","25","1","23","77","75","63","3","116","10","3","1","9","5","1",".249",".345",".445",".789","11.1%","20.4%","111",".340","2.7","16622"
"Wilmer Flores","SFG","139","389","436","102","67","16","1","18","57","53","41","0","56","3","3","0","11","1","0",".262",".335",".447",".782","9.4%","12.8%","113",".337","1.2","5827"
"Nolan Arenado","STL","157","593","653","151","80","34","3","34","81","105","50","8","96","3","7","0","20","2","0",".255",".312",".494",".807","7.7%","14.7%","113",".336","4.0","9777"
"Alex Bregman","HOU","91","348","400","94","65","17","0","12","54","55","44","4","53","4","4","0","13","1","0",".270",".355",".422",".777","11.0%","13.3%","115",".336","2.0","17678"
"Eduardo Escobar","- - -","146","549","599","139","80","26","5","28","77","90","48","1","124","1","1","0","3","1","0",".253",".314",".472",".786","8.0%","20.7%","107",".334","3.0","6153"
"Ryan McMahon","COL","151","528","596","134","78","32","1","23","80","86","59","2","147","4","5","0","14","6","2",".254",".331",".449",".779","9.9%","24.7%","95",".334","2.5","15112"
"Matt Duffy","CHC","97","289","322","83","66","12","0","5","45","30","25","0","63","7","1","0","16","8","1",".287",".357",".381",".738","7.8%","19.6%","102",".327","1.5","13836"
"Yandy Diaz","TBR","134","465","541","119","85","20","1","13","62","64","69","4","85","3","4","0","11","1","1",".256",".353",".387",".740","12.8%","15.7%","111",".325","1.8","16578"
"Luis Arraez","MIN","121","428","479","126","101","17","6","2","58","42","43","2","48","2","6","0","9","2","2",".294",".357",".376",".733","9.0%","10.0%","103",".321","1.8","18568"
"Jonathan Villar","NYM","142","454","505","113","75","18","2","18","63","42","46","2","132","3","0","2","6","14","7",".249",".322",".416",".738","9.1%","26.1%","105",".320","2.1","10071"
"Joey Wendle","TBR","136","460","501","122","76","31","4","11","73","54","28","4","113","10","3","0","9","8","6",".265",".319",".422",".741","5.6%","22.6%","106",".317","2.6","13853"
"Ehire Adrianza","ATL","109","182","209","45","29","9","2","5","32","28","21","0","42","2","3","1","4","0","0",".247",".327",".401",".728","10.0%","20.1%","94",".316","0.2","8418"
"Brian Anderson","MIA","67","233","264","58","42","9","0","7","24","28","26","2","65","5","0","0","4","5","0",".249",".337",".378",".715","9.8%","24.6%","99",".314","1.3","18289"
"Wilmer Difo","PIT","116","219","240","59","45","7","3","4","25","24","20","0","54","0","1","0","2","1","0",".269",".329",".384",".713","8.3%","22.5%","95",".312","0.5","14320"
"Matt Chapman","OAK","151","529","622","111","66","15","3","27","75","72","80","0","202","4","9","0","6","3","2",".210",".314",".403",".716","12.9%","32.5%","101",".311","3.4","16505"
"Aledmys Diaz","HOU","84","294","319","76","49","19","0","8","28","45","16","3","62","9","0","0","7","0","1",".259",".317",".405",".721","5.0%","19.4%","99",".311","0.9","15937"
"Anthony Rendon","LAA","58","217","249","52","33","13","0","6","24","34","29","2","41","1","2","0","11","0","0",".240",".329",".382",".712","11.6%","16.5%","95",".310","0.7","12861"
"Gio Urshela","NYY","116","420","442","112","78","18","2","14","42","49","20","0","109","1","1","0","16","1","0",".267",".301",".419",".720","4.5%","24.7%","96",".309","1.0","10681"
